episode,speakers,emotions,utterances,triggers
utterance_15,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler']","['neutral', 'neutral', 'joy', 'sadness', 'surprise', 'neutral', 'disgust', 'sadness', 'neutral', 'neutral', 'joy']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!', ""Yeah, apparently they're turning it into some kinda coffee place."", 'Just coffee! Where are we gonna hang out now?', 'Got me.', 'Can I get a beer.', 'Hey, did you pick a roommate?', 'You betcha!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_16,"['Phoebe', 'Chandler', 'Phoebe', 'Phoebe']","['surprise', 'surprise', 'surprise', 'neutral']","['Oh my God, oh my God! Poor Monica!', 'What, what, what?!', 'What?!', 'He was with her when he wrote this poem.']","[0.0, 0.0, 1.0, 0.0]"
utterance_17,"['Phoebe', 'Chandler', 'Phoebe', 'Phoebe', 'Phoebe', 'Phoebe', 'Phoebe']","['surprise', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'surprise']","['Oh my God, oh my God! Poor Monica!', 'What, what, what?!', 'What?!', 'He was with her when he wrote this poem.', ""Look,  'My vessel so empty with nothing inside."", ""Now that I've touched you, you seem emptier still.'"", 'He thinks Monica is empty, she is the empty vase!']","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
utterance_18,"['Phoebe', 'Chandler', 'Phoebe', 'Phoebe', 'Phoebe', 'Phoebe', 'Phoebe', 'Phoebe']","['surprise', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'surprise', 'sadness']","['Oh my God, oh my God! Poor Monica!', 'What, what, what?!', 'What?!', 'He was with her when he wrote this poem.', ""Look,  'My vessel so empty with nothing inside."", ""Now that I've touched you, you seem emptier still.'"", 'He thinks Monica is empty, she is the empty vase!', 'Oh, totally. Oh, God, oh, she seemed so happy too.']","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
utterance_19,"['Rachel', 'Ross', 'Rachel', 'Ross']","['surprise', 'joy', 'surprise', 'neutral']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I...""]","[0.0, 0.0, 1.0, 0.0]"
utterance_20,"['Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel']","['surprise', 'joy', 'surprise', 'neutral', 'neutral']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I..."", 'Oh.']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_21,"['Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel']","['surprise', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I..."", 'Oh.', 'Hi.', 'Hi.', ""How'd did it go?"", ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_22,"['Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross']","['surprise', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'joy']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I..."", 'Oh.', 'Hi.', 'Hi.', ""How'd did it go?"", ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up."", ""I'm so proud of you.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_23,"['Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross']","['surprise', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'joy', 'joy', 'sadness']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I..."", 'Oh.', 'Hi.', 'Hi.', ""How'd did it go?"", ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up."", ""I'm so proud of you."", 'Me too!', ""Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_24,"['Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel']","['surprise', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'joy', 'joy', 'sadness', 'neutral']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I..."", 'Oh.', 'Hi.', 'Hi.', ""How'd did it go?"", ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up."", ""I'm so proud of you."", 'Me too!', ""Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so..."", 'I know.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_25,"['Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross', 'Rachel', 'Ross']","['surprise', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'joy', 'joy', 'sadness', 'neutral', 'neutral']","['Hey!', 'Hi!', 'What are you doing here?', ""Ah y'know, this building is on my paper route so I..."", 'Oh.', 'Hi.', 'Hi.', ""How'd did it go?"", ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up."", ""I'm so proud of you."", 'Me too!', ""Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so..."", 'I know.', 'Yeah.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_26,"['Chandler', 'Joey', 'Chandler', 'Joey']","['joy', 'surprise', 'joy', 'neutral']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?']","[0.0, 0.0, 1.0, 1.0]"
utterance_27,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler']","['joy', 'surprise', 'joy', 'neutral', 'neutral']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_28,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_29,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_30,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_31,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral', 'surprise']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?', 'I was surprised to see a kangaroo in a World War I epic.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_32,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral', 'surprise', 'anger']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?', 'I was surprised to see a kangaroo in a World War I epic.', 'You fell asleep!!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_33,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Joey', 'Joey', 'Joey']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral', 'surprise', 'anger', 'anger', 'anger', 'neutral']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?', 'I was surprised to see a kangaroo in a World War I epic.', 'You fell asleep!!', 'There was no kangaroo!', ""They didn't take any of my suggestions!"", ""That's for coming buddy.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_34,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Joey', 'Joey', 'Joey', 'Joey', 'Chandler']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral', 'surprise', 'anger', 'anger', 'anger', 'neutral', 'neutral', 'sadness']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?', 'I was surprised to see a kangaroo in a World War I epic.', 'You fell asleep!!', 'There was no kangaroo!', ""They didn't take any of my suggestions!"", ""That's for coming buddy."", ""I'll see you later."", ""Don't go!""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
utterance_35,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Joey', 'Joey', 'Joey', 'Joey', 'Chandler', 'Chandler', 'Chandler', 'Chandler']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral', 'surprise', 'anger', 'anger', 'anger', 'neutral', 'neutral', 'sadness', 'sadness', 'sadness', 'surprise']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?', 'I was surprised to see a kangaroo in a World War I epic.', 'You fell asleep!!', 'There was no kangaroo!', ""They didn't take any of my suggestions!"", ""That's for coming buddy."", ""I'll see you later."", ""Don't go!"", ""I'm sorry."", ""I'm so sorry!"", 'Look!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_36,"['Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Chandler', 'Joey', 'Joey', 'Joey', 'Joey', 'Joey', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler']","['joy', 'surprise', 'joy', 'neutral', 'neutral', 'anger', 'joy', 'neutral', 'surprise', 'anger', 'anger', 'anger', 'neutral', 'neutral', 'sadness', 'sadness', 'sadness', 'surprise', 'anger']","['Good job Joe! Well done! Top notch!', 'You liked it? You really liked it?', 'Oh-ho-ho, yeah!', 'Which part exactly?', 'The whole thing! Can we go?', 'Oh no-no-no, give me some specifics.', 'I love the specifics, the specifics were the best part!', 'Hey, what about the scene with the kangaroo? Did-did you like that part?', 'I was surprised to see a kangaroo in a World War I epic.', 'You fell asleep!!', 'There was no kangaroo!', ""They didn't take any of my suggestions!"", ""That's for coming buddy."", ""I'll see you later."", ""Don't go!"", ""I'm sorry."", ""I'm so sorry!"", 'Look!', 'This guy fell asleep!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_37,"['Phoebe', 'Phoebe', 'Chandler', 'Customer', 'Chandler']","['neutral', 'neutral', 'neutral', 'neutral', 'joy']","['Yes, and it is my dying wish to have that ring.', ""See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity"", ""Okay, that's enough honey!"", ""I don't know.  Let me see the ring."", 'Great! Okay, here.']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_38,"['Chandler', 'Jade', 'Jade', 'Chandler']","['neutral', 'neutral', 'neutral', 'joy']","[""What've you been up to?"", 'Oh, you know, the usual, teaching aerobics, partying way too much.', 'Oh, and in case you were wondering, those are my legs on the new James Bond poster.', 'Can you hold on a moment? I have another call.  I love her.']","[0.0, 1.0, 1.0, 0.0]"
utterance_39,"['Chandler', 'Jade', 'Jade', 'Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral']","[""What've you been up to?"", 'Oh, you know, the usual, teaching aerobics, partying way too much.', 'Oh, and in case you were wondering, those are my legs on the new James Bond poster.', 'Can you hold on a moment? I have another call.  I love her.', 'I know.', ""I'm back.""]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_40,"['Chandler', 'Jade', 'Jade', 'Chandler', 'Ross', 'Chandler', 'Jade', 'Chandler', 'Jade', 'Chandler']","['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy']","[""What've you been up to?"", 'Oh, you know, the usual, teaching aerobics, partying way too much.', 'Oh, and in case you were wondering, those are my legs on the new James Bond poster.', 'Can you hold on a moment? I have another call.  I love her.', 'I know.', ""I'm back."", 'So, are we gonna get together or what?', ""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"", ""Great, I'll see you then."", 'Ok.  Ok. Having a phone has finally paid off.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_41,"['Chandler', 'Jade', 'Jade', 'Chandler', 'Ross', 'Chandler', 'Jade', 'Chandler', 'Jade', 'Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral']","[""What've you been up to?"", 'Oh, you know, the usual, teaching aerobics, partying way too much.', 'Oh, and in case you were wondering, those are my legs on the new James Bond poster.', 'Can you hold on a moment? I have another call.  I love her.', 'I know.', ""I'm back."", 'So, are we gonna get together or what?', ""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"", ""Great, I'll see you then."", 'Ok.  Ok. Having a phone has finally paid off.', 'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""', ""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_42,"['Chandler', 'Jade', 'Jade', 'Chandler', 'Ross', 'Chandler', 'Jade', 'Chandler', 'Jade', 'Chandler', 'Ross', 'Chandler', 'Ross']","['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'disgust']","[""What've you been up to?"", 'Oh, you know, the usual, teaching aerobics, partying way too much.', 'Oh, and in case you were wondering, those are my legs on the new James Bond poster.', 'Can you hold on a moment? I have another call.  I love her.', 'I know.', ""I'm back."", 'So, are we gonna get together or what?', ""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"", ""Great, I'll see you then."", 'Ok.  Ok. Having a phone has finally paid off.', 'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""', ""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table."", 'Oh my god. You are pure evil.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_43,"['Chandler', 'Jade', 'Jade', 'Chandler', 'Ross', 'Chandler', 'Jade', 'Chandler', 'Jade', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'disgust', 'anger']","[""What've you been up to?"", 'Oh, you know, the usual, teaching aerobics, partying way too much.', 'Oh, and in case you were wondering, those are my legs on the new James Bond poster.', 'Can you hold on a moment? I have another call.  I love her.', 'I know.', ""I'm back."", 'So, are we gonna get together or what?', ""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"", ""Great, I'll see you then."", 'Ok.  Ok. Having a phone has finally paid off.', 'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""', ""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table."", 'Oh my god. You are pure evil.', ""Ok, pure evil , horny and alone . I've done this""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_44,"['Ross', 'Monica', 'Ross', 'Chandler', 'Phoebe', 'Phoebe', 'Ross']","['neutral', 'anger', 'neutral', 'joy', 'neutral', 'neutral', 'joy']","['This is my wedding.', ""All right, y'know what? We really are late! Let's go! Let's go! Let's go!!"", ""Fine. You'll-you'll watch it on video when we get back."", 'Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.', 'Thank you.', 'Thank you.', ""All right, let's go! Bye, Pheebs!""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
